Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors,Select Investors 1,Select Investors 2,Select Investors 3,Select Investors 4,Number of Investors
CloudBees,$1B,12/9/2021,Data management & analytics,San Jose,United States,North America,2010,$236M,"Matrix Partners, Lightspeed Venture Partners, Verizon Ventures",Matrix Partners, Lightspeed Venture Partners, Verizon Ventures,,3
Elemy,$1B,10/6/2021,Health,San Francisco,United States,North America,2019,$323M,"General Catalyst, Bling Capital, Felicis Ventures",General Catalyst, Bling Capital, Felicis Ventures,,3
Guideline,$1B,6/16/2021,Fintech,San Mateo,United States,North America,2015,$339M,"Pelion Venture Partners, Foundation Capital, Thoma Bravo",Pelion Venture Partners, Foundation Capital, Thoma Bravo,,3
Happy Money,$1B,2/8/2022,Fintech,Tustin,United States,North America,2009,$192M,"FirstMark Capital, Anthemis, CMFG Ventures",FirstMark Capital, Anthemis, CMFG Ventures,,3
Rebellion Defense,$1B,9/16/2021,Artificial intelligence,Washington DC,United States,North America,2019,$150M,"Venrock, Innovation Endeavors, Insights Partners",Venrock, Innovation Endeavors, Insights Partners,,3
STORD,$1B,9/13/2021,"Supply chain, logistics, & delivery",Atlanta,United States,North America,2015,$205M,"Dynamo VC, Susa Ventures, Founders Fund",Dynamo VC, Susa Ventures, Founders Fund,,3
At-Bay,$1B,7/27/2021,Fintech,Mountain View,United States,North America,2016,$292M,"Lightspeed Venture Partners, Khosla Ventures, Munich Re Ventures",Lightspeed Venture Partners, Khosla Ventures, Munich Re Ventures,,3
TELD,$1B,12/16/2019,Fintech,Qingdao,China,Asia,2014,$396M,"China Reform Fund, Gaopeng Capital, Jinhui Xingye",China Reform Fund, Gaopeng Capital, Jinhui Xingye,,3
Acko General Insurance,$1B,10/28/2021,Fintech,Bengaluru,India,Asia,2016,$458M,"Intact Ventures, Munich Re Ventures, General Atlantic",Intact Ventures, Munich Re Ventures, General Atlantic,,3
apna,$1B,9/15/2021,Internet software & services,Bengaluru,India,Asia,2019,$193M,"Sequoia Capital India, Rocketship.vc, Lightspeed India Partners",Sequoia Capital India, Rocketship.vc, Lightspeed India Partners,,3
Beyond Identity,$1B,2/22/2022,Cybersecurity,New York,United States,North America,2019,$205M,"New Enterprise Associates, Koch Disruptive Technologies, Evolution Equity Partners",New Enterprise Associates, Koch Disruptive Technologies, Evolution Equity Partners,,3
Carousell,$1B,9/15/2021,E-commerce & direct-to-consumer,,Singapore,Asia,2012,$288M,"500 Global, Rakuten Ventures, Golden Gate Ventures",500 Global, Rakuten Ventures, Golden Gate Ventures,,3
Chief,$1B,3/31/2022,Other,New York,United States,North America,2019,$140M,"General Catalyst, Inspired Capital, Flybridge Capital Partners",General Catalyst, Inspired Capital, Flybridge Capital Partners,,3
CoinDCX,$1B,8/10/2021,Fintech,Maharashtra,India,Asia,2017,$109M,"Polychain Capital, Coinbase Ventures, Jump Capital",Polychain Capital, Coinbase Ventures, Jump Capital,,3
Daily Harvest,$1B,11/16/2021,E-commerce & direct-to-consumer,New York,United States,North America,2014,$120M,"M13, Lightspeed Venture Partners, Lone Pine Capital",M13, Lightspeed Venture Partners, Lone Pine Capital,,3
Enpal,$1B,10/18/2021,Internet software & services,Berlin,Germany,Europe,2017,$304M,"HV Capital, Softbank Group, BlackRock",HV Capital, Softbank Group, BlackRock,,3
eSentire,$1B,2/22/2022,Cybersecurity,Waterloo,Canada,North America,2001,$186M,"Edison Partners, Georgian Partners, VentureLink",Edison Partners, Georgian Partners, VentureLink,,3
Firefly Aerospace,$1B,5/4/2021,Other,Cedar Park,United States,North America,2014,$172M,"XBTO Ventures, Raven One Ventures, SK Ventures",XBTO Ventures, Raven One Ventures, SK Ventures,,3
Fundbox,$1B,11/30/2021,Fintech,San Francisco,United States,North America,2013,$404M,"Khosla Ventures, General Catalyst, Blumberg Capital",Khosla Ventures, General Catalyst, Blumberg Capital,,3
G2,$1B,6/22/2021,Internet software & services,Chicago,United States,North America,2012,$258M,"Pritzker Group Venture Capital, Accel, Hyde Park Venture Partners",Pritzker Group Venture Capital, Accel, Hyde Park Venture Partners,,3
Gaussian Robotics,$1B,11/10/2021,Hardware,Shanghai,China,Asia,2013,$325M,"BlueRun Ventures, Grand Flight Investment, Meituan Dianping",BlueRun Ventures, Grand Flight Investment, Meituan Dianping,,3
GetYourGuide,$1B,5/16/2019,Travel,Berlin,Germany,Europe,2009,$656M,"Spark Capital, Highland Europe, Sunstone Capital",Spark Capital, Highland Europe, Sunstone Capital,,3
GlobalBees,$1B,12/28/2021,E-commerce & direct-to-consumer,New Delhi,India,Asia,2021,$185M,"Chiratae Ventures, SoftBank Group, Trifecta Capital",Chiratae Ventures, SoftBank Group, Trifecta Capital,,3
Ivalua,$1B,5/21/2019,Fintech,Redwood City,United States,North America,2000,$134M,"Ardian, Tiger Global Management, KKR",Ardian, Tiger Global Management, KKR,,3
Juanpi,$1B,4/14/2016,E-commerce & direct-to-consumer,Wuhan,China,Asia,2012,$136M,"Tiantu Capital, SAIF Partners China, Newsion Venture Capital",Tiantu Capital, SAIF Partners China, Newsion Venture Capital,,3
Karat,$1B,10/13/2021,Internet software & services,Seattle,United States,North America,2014,$169M,"8VC, Norwest Venture Partners, Tiger Global Management",8VC, Norwest Venture Partners, Tiger Global Management,,3
LEAD School,$1B,1/13/2022,Edtech,Andheri,India,Asia,2012,$166M,"WestBridge Capital, GSV Ventures, Elevar Equity",WestBridge Capital, GSV Ventures, Elevar Equity,,3
Nexthink,$1B,2/8/2021,Data management & analytics,Prilly,Switzerland,Europe,2004,$346M,"Auriga, Galeo Ventures, Highland Europe",Auriga, Galeo Ventures, Highland Europe,,3
People.ai,$1B,8/11/2021,Internet software & services,San Francisco,United States,North America,2017,$200M,"GGV Capital, Lightspeed Venture Partners, ICONIQ Capital",GGV Capital, Lightspeed Venture Partners, ICONIQ Capital,,3
Pharmapacks,$1B,11/12/2020,E-commerce & direct-to-consumer,Islandia,United States,North America,2010,$433M,The Carlyle Group,The Carlyle Group,,,,1
Rightway,$1B,3/30/2021,Health,New York,United States,North America,2017,$130M,"Thrive Capital, Khosla Ventures, Tiger Global Management",Thrive Capital, Khosla Ventures, Tiger Global Management,,3
Sennder,$1B,1/14/2021,"Supply chain, logistics, & delivery",Berlin,Germany,Europe,2015,$340M,"Accelm Scania Growth Capital, Lakestar",Accelm Scania Growth Capital, Lakestar,,,2
Sisense,$1B,1/9/2020,Data management & analytics,New York,United States,North America,2004,$274M,"Opus Capital, Genesis Partners, Battery Ventures",Opus Capital, Genesis Partners, Battery Ventures,,3
Staffbase,$1B,3/15/2022,Internet software & services,Chemnitz,Germany,Europe,2014,$307M,"Insight Partners, e.ventures, General Atlantic",Insight Partners, e.ventures, General Atlantic,,3
Sunbit,$1B,5/20/2021,Fintech,Los Angeles,United States,North America,2016,$210M,"Zeev Ventures, Group11, Chicago Ventures",Zeev Ventures, Group11, Chicago Ventures,,3
TangoMe,$1B,3/20/2014,Mobile & telecommunications,Mountain View,United States,North America,2009,$361M,"Draper Fisher Jurtson, Qualcomm Ventures, Alibaba Group",Draper Fisher Jurtson, Qualcomm Ventures, Alibaba Group,,3
The Bank of London,$1B,11/30/2021,Fintech,London,United Kingdom,Europe,2018,$90M,"Mangrove Capital Partners,14W, ForgeLight",Mangrove Capital Partners,14W, ForgeLight,,3
Zego,$1B,3/9/2021,Fintech,London,United Kingdom,Europe,2016,$202M,"LocalGlobe, Balderton Capital, Target Global",LocalGlobe, Balderton Capital, Target Global,,3
Nxin,$1B,9/18/2018,Internet software & services,Beijing,China,Asia,2015,$53M,"Beijing Juneng Hesheng Industry Investment Fund, Beijing Shuju Xinrong Fund",Beijing Juneng Hesheng Industry Investment Fund, Beijing Shuju Xinrong Fund,,,2
Mamaearth,$1B,12/28/2021,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2016,$111M,"Fireside Ventures, Sequoia Capital India, Stellaris Venture Partners",Fireside Ventures, Sequoia Capital India, Stellaris Venture Partners,,3
Radius Payment Solutions,$1B,11/27/2017,Fintech,Crewe,United Kingdom,Europe,1990,$200M,Inflexion Private Equity,Inflexion Private Equity,,,,1
Rivigo,$1B,7/11/2019,"Supply chain, logistics, & delivery",Gurgaon,India,Asia,2014,$247M,"SAIF Partners India, Warburg Pincus, Trifecta Capital Advisors",SAIF Partners India, Warburg Pincus, Trifecta Capital Advisors,,3
Rubicon,$1B,8/25/2017,Other,Atlanta,United States,North America,2008,$223M,"Goldman Sachs, Leonardo DiCaprio, Promecap",Goldman Sachs, Leonardo DiCaprio, Promecap,,3
Socar,$1B,10/16/2020,Auto & transportation,Jeju-do,South Korea,Asia,2012,$408M,"Bain Capital, Altos Ventures, Songhyun Investment",Bain Capital, Altos Ventures, Songhyun Investment,,3
MobileCoin,$1B,7/7/2021,Fintech,San Francisco,United States,North America,2018,$107M,"General Catalyst, Future Ventures, AU21",General Catalyst, Future Ventures, AU21,,3
Density,$1B,11/10/2021,Hardware,San Francisco,United States,North America,2014,$217M,"Founders Fund, Upfront Ventures, 01 Advisors",Founders Fund, Upfront Ventures, 01 Advisors,,3
Instabase,$1B,10/21/2019,Data management & analytics,San Francisco,United States,North America,2015,$132M,"New Enterprise Associates, Greylock Partners, Andreessen Horowitz",New Enterprise Associates, Greylock Partners, Andreessen Horowitz,,3
Jiuxian,$1B,7/30/2015,E-commerce & direct-to-consumer,Beijing,China,Asia,2009,$250M,"Sequoia Capital China, Rich Land Capital, Merrysunny Wealth",Sequoia Capital China, Rich Land Capital, Merrysunny Wealth,,3
Matrixport,$1B,6/1/2021,Fintech,,Singapore,Asia,2019,$100M,"Dragonfly Captial, Qiming Venture Partners, DST Global",Dragonfly Captial, Qiming Venture Partners, DST Global,,3
Mixpanel,$1B,11/15/2021,Internet software & services,San Francisco,United States,North America,2009,$277M,"Bain Capital Tech Opportunities, Andreessen Horowitz, Sequoia Capital",Bain Capital Tech Opportunities, Andreessen Horowitz, Sequoia Capital,,3
Sendbird,$1B,4/6/2021,Mobile & telecommunications,San Mateo,United States,North America,2013,$221M,"FundersClub, Y Combinator, Tiger Global Management",FundersClub, Y Combinator, Tiger Global Management,,3
OrCam Technologies,$1B,2/20/2018,Artificial intelligence,Jerusalem,Israel,Asia,2010,$86M,"Intel Capital, Aviv Venture Capital",Intel Capital, Aviv Venture Capital,,,2
Leap Motor,$1B,11/20/2018,Auto & transportation,Hangzhou,China,Asia,2015,$1B,"Sequoia Capital China, Gopher Asset Management, Shanghai Electric Group",Sequoia Capital China, Gopher Asset Management, Shanghai Electric Group,,3
1KMXC,$1B,8/30/2021,Hardware,Hangzhou,China,Asia,2014,$86M,"Goldman Sachs Asset Management, SDP Investment, Alibaba Group",Goldman Sachs Asset Management, SDP Investment, Alibaba Group,,3
58 Daojia,$1B,10/12/2015,Internet software & services,Beijing,China,Asia,2014,$300M,"KKR, Alibaba Group, Ping An Insurance",KKR, Alibaba Group, Ping An Insurance,,3
Agile Robots,$1B,9/9/2021,Hardware,Munich,Germany,Europe,2018,$240M,"Hillhouse Capital Management, Sequoia Capital China, Linear Venture",Hillhouse Capital Management, Sequoia Capital China, Linear Venture,,3
Aibee,$1B,4/13/2021,Artificial intelligence,Beijing,China,Asia,2017,$273M,"Sequoia Capital China, Lenovo Capital and Incubator, Group GSR Ventures",Sequoia Capital China, Lenovo Capital and Incubator, Group GSR Ventures,,3
Aircall,$1B,6/23/2021,Internet software & services,New York,United States,North America,2014,$226M,"Balderton Capital, Next World Capital, Draper Esprit",Balderton Capital, Next World Capital, Draper Esprit,,3
Ajaib,$1B,10/4/2021,Fintech,Jakarta,Indonesia,Asia,2018,$245M,"Softbank Ventures Asia, Alpha JWC Ventures, Insignia Ventures Partners",Softbank Ventures Asia, Alpha JWC Ventures, Insignia Ventures Partners,,3
Alto Pharmacy,$1B,1/30/2020,Health,San Francisco,United States,North America,2015,$524M,"Jackson Square Ventures, Greenoaks Capital Management, Softbank Group",Jackson Square Ventures, Greenoaks Capital Management, Softbank Group,,3
Amagi,$1B,3/16/2022,Internet software & services,Bengaluru,India,Asia,2008,$240M,"Mayfield, Accel, Norwest Venture Partners",Mayfield, Accel, Norwest Venture Partners,,3
Amount,$1B,5/17/2021,Fintech,Chicago,United States,North America,2019,$243M,"Invus Group, Hanaco Venture Capital, WestCap Group",Invus Group, Hanaco Venture Capital, WestCap Group,,3
Amperity,$1B,7/13/2021,Artificial intelligence,Seattle,United States,North America,2016,$187M,"Madrona Venture Group, Tiger Global Management, Madera Technology Partners",Madrona Venture Group, Tiger Global Management, Madera Technology Partners,,3
Anyscale,$1B,12/7/2021,Artificial Intelligence,Berkeley,United States,North America,2019,$160M,"Andreessen Horowitz, Intel Capital, Foundation Capital",Andreessen Horowitz, Intel Capital, Foundation Capital,,3
Aptos,$1B,3/15/2022,Internet software & services,Palo Alto,United States,North America,2021,$200M,"Andreessen Horowitz, Coinbase Ventures, Tiger Global Management",Andreessen Horowitz, Coinbase Ventures, Tiger Global Management,,3
Aqua Security,$1B,3/10/2021,Cybersecurity,Ramat Gan,Israel,Asia,2015,$265M,"TLV Partners, Lightspeed Venture Partners, M12",TLV Partners, Lightspeed Venture Partners, M12,,3
Assembly,$1B,9/21/2021,Internet software & services,Culver City,United States,North America,2019,Unknown,"Advent International, PSG, Providence Equity Partners",Advent International, PSG, Providence Equity Partners,,3
Assent,$1B,1/6/2022,"Supply chain, logistics, & delivery",Ottawa,Canada,North America,2010,$534M,"Vista Equity Partners, Warburg Pincus, First Ascent Ventures",Vista Equity Partners, Warburg Pincus, First Ascent Ventures,,3
Augury,$1B,10/26/2021,Artificial intelligence,New York,United States,North America,2011,$294M,"Lerer Hippeau, Munich Re Ventures, Eclipse Ventures",Lerer Hippeau, Munich Re Ventures, Eclipse Ventures,,3
Axelar,$1B,2/15/2022,Internet software & services,Waterloo,Canada,North America,2020,$64M,"Lemniscap VC, North Island Ventures, Polychain Capital",Lemniscap VC, North Island Ventures, Polychain Capital,,3
Axiom Space,$1B,2/16/2021,Other,Houston,United States,North America,2016,$150M,"C5 Capital, Hemisphere Ventures, The Venture Collective",C5 Capital, Hemisphere Ventures, The Venture Collective,,3
Banma Network Technologies,$1B,9/13/2018,Auto & transportation,Shanghai,China,Asia,2015,$697M,"Yunfeng Capital, SDIC Innovation Investment Management, Shang Qi Capital",Yunfeng Capital, SDIC Innovation Investment Management, Shang Qi Capital,,3
BeiBei,$1B,1/22/2015,E-commerce & direct-to-consumer,Hangzhou,China,Asia,2011,$224M,"Banyan Capital, New Horizon Capital, IDG Capital Partners",Banyan Capital, New Horizon Capital, IDG Capital Partners,,3
BenevolentAI,$1B,6/2/2015,Artificial intelligence,London,United Kingdom,Europe,2013,$292M,Woodford Investment Management,Woodford Investment Management,,,,1
Berlin Brands Group,$1B,9/1/2021,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2005,$800M,"Ardian, Bain Capital",Ardian, Bain Capital,,,2
Betterfly,$1B,2/1/2022,Artificial intelligence,Santiago,Chile,South America,2018,$205M,"QED Investors, DST Global, Endeavor",QED Investors, DST Global, Endeavor,,3
BitFury,$1B,11/6/2018,Hardware,Amsterdam,Netherlands,Europe,2011,$170M,"Georgian Co-Investment Fund, iTech Capital, Galaxy Digital",Georgian Co-Investment Fund, iTech Capital, Galaxy Digital,,3
BlackBuck,$1B,7/22/2021,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,2015,$352M,"Accel, Sands Capital, International Finance Corporation",Accel, Sands Capital, International Finance Corporation,,3
Bluecore,$1B,8/5/2021,Artificial intelligence,New York,United States,North America,2013,$238M,"FirstMark Capital, Georgian Partners, Norwest Venture Partners",FirstMark Capital, Georgian Partners, Norwest Venture Partners,,3
BlueVoyant,$1B,2/23/2022,Cybersecurity,New York,United States,North America,2017,$526M,"8VC, Liberty Strategic Capital, Eden Global Partners",8VC, Liberty Strategic Capital, Eden Global Partners,,3
bolttech,$1B,7/1/2021,Fintech,,Singapore,Asia,2018,$210M,"Mundi Ventures, Doqling Capital Partners, Activant Capital",Mundi Ventures, Doqling Capital Partners, Activant Capital,,3
Boom Supersonic,$1B,12/16/2020,Other,Englewood,United States,North America,2014,$241M,"WRVI Capital, Caffeinated Capital, Y Combinator",WRVI Capital, Caffeinated Capital, Y Combinator,,3
Bringg,$1B,6/16/2021,"Supply chain, logistics, & delivery",Tel Aviv,Israel,Asia,2013,$185M,"Salesforce Ventures, next47, Pereg Ventures",Salesforce Ventures, next47, Pereg Ventures,,3
C2FO,$1B,8/7/2019,Fintech,Leawood,United States,North America,2008,$538M,"Union Square Ventures, Summerhill Venture Partners, Mithril Capital Management",Union Square Ventures, Summerhill Venture Partners, Mithril Capital Management,,3
Cadence,$1B,12/14/2021,Health,New York,United States,North America,2020,$141M,"Thrive Capital, General Catalyst, Coatue Management",Thrive Capital, General Catalyst, Coatue Management,,3
CAIS,$1B,1/11/2022,Fintech,New York,United States,North America,2009,$406M,"Franklin Templeton, Motive Partners, Apollo Global Management",Franklin Templeton, Motive Partners, Apollo Global Management,,3
Cameo,$1B,3/30/2021,Internet software & services,Chicago,United States,North America,2016,$165M,"Lightspeed Venture Partners, Kleiner Perkins Caufield & Byers, Origin Ventures",Lightspeed Venture Partners, Kleiner Perkins Caufield & Byers, Origin Ventures,,3
Capsule,$1B,4/28/2021,Health,New York,United States,North America,2016,$570M,"Thrive Capital, Durable Capital Partners, G Squared",Thrive Capital, Durable Capital Partners, G Squared,,3
CargoX,$1B,10/21/2021,"Supply chain, logistics, & delivery",Sao Paulo,Brazil,South America,2015,$390M,"Valor Capital Group, Lightrock, Softbank Group",Valor Capital Group, Lightrock, Softbank Group,,3
Carro,$1B,6/14/2021,E-commerce & direct-to-consumer,,Singapore,Asia,2015,$595M,"SingTel Innov8, Alpha JWC Ventures, Golden Gate Ventures",SingTel Innov8, Alpha JWC Ventures, Golden Gate Ventures,,3
Carson Group,$1B,7/14/2021,Fintech,Lincoln,United States,North America,2012,Unknown,Bain Capital,Bain Capital,,,,1
CHEQ,$1B,2/22/2022,Cybersecurity,New York,United States,North America,2014,$182M,"Battery Ventures, Tiger Global Management, Hanaco Ventures",Battery Ventures, Tiger Global Management, Hanaco Ventures,,3
Chronosphere,$1B,10/7/2021,Data management & analytics,New York,United States,North America,2019,$254M,"Greylock Partners, Lux Capital, General Atlantic",Greylock Partners, Lux Capital, General Atlantic,,3
Cider,$1B,9/2/2021,E-commerce & direct-to-consumer,,Hong Kong,Asia,2020,$140M,"Andreessen Horowitz, DST Global, IDG Capital",Andreessen Horowitz, DST Global, IDG Capital,,3
Clara,$1B,12/6/2021,Fintech,Mexico City,Mexico,North America,2020,$109M,"DST Global, General Catalyst, Monashees+",DST Global, General Catalyst, Monashees+,,3
Clearcover,$1B,4/13/2021,Fintech,Chicago,United States,North America,2016,$305M,"American Family Ventures, Cox Enterprises, OMERS Ventures",American Family Ventures, Cox Enterprises, OMERS Ventures,,3
CommerceIQ,$1B,3/21/2022,Artificial Intelligence,Palo Alto,United States,North America,2012,$196M,"Trinity Ventures, Madrona Venture Group, Shasta Ventures",Trinity Ventures, Madrona Venture Group, Shasta Ventures,,3
Contrast Security,$1B,11/9/2021,Cybersecurity,Los Altos,United States,North America,2014,$269M,"Acero Capital, General Catalyst, M12",Acero Capital, General Catalyst, M12,,3
Darwinbox,$1B,1/25/2022,Internet software & services,Hyderabad,India,Asia,2015,$107M,"Lightspeed India Partners, Sequoia Capital India, Endiya Partners",Lightspeed India Partners, Sequoia Capital India, Endiya Partners,,3
Dental Monitoring,$1B,10/21/2021,Health,Paris,France,Europe,2014,$232M,"Vitruvian Partners, Merieux Equity Partners, Straumann",Vitruvian Partners, Merieux Equity Partners, Straumann,,3
DianRong,$1B,8/2/2017,E-commerce & direct-to-consumer,Shanghai,China,Asia,2012,$549M,"Standard Chartered, FinSight Ventures, Affirma Capital",Standard Chartered, FinSight Ventures, Affirma Capital,,3
Drata,$1B,11/8/2021,Cybersecurity,San Diego,United States,North America,2020,$128M,"Cowboy Ventures, Leaders Fund, GGV Capital",Cowboy Ventures, Leaders Fund, GGV Capital,,3
DriveNets,$1B,1/27/2021,Internet software & services,Ra'anana,Israel,Asia,2015,$325M,"Bessemer Venture Partners, Pitango Venture Capital, D1 Capital Partners",Bessemer Venture Partners, Pitango Venture Capital, D1 Capital Partners,,3
Dune Analytics,$1B,2/2/2022,Data management & analytics,Oslo,Norway,Europe,2018,$79M,"Multicoin Capital, Coatue Management, Dragonfly Capital Partners",Multicoin Capital, Coatue Management, Dragonfly Capital Partners,,3
Dxy.cn,$1B,4/10/2018,Health,Hangzhou,China,Asia,2000,$682M,"Tencent Holdings, DCM Ventures",Tencent Holdings, DCM Ventures,,,2
EBANX,$1B,10/16/2019,Fintech,Curitiba,Brazil,South America,2012,$460M,"FTV Capital, Endeavor",FTV Capital, Endeavor,,,2
EcoFlow,$1B,6/10/2021,Hardware,Shenzhen,China,Asia,2017,$105M,"Delian Capital, China International Capital Corporation, Sequoia Capital China",Delian Capital, China International Capital Corporation, Sequoia Capital China,,3
Electric,$1B,3/29/2022,Cybersecurity,New York,United States,North America,2016,$209M,"Primary Venture Partners, Bessemer Venture Partners, Harmonic Growth Partners",Primary Venture Partners, Bessemer Venture Partners, Harmonic Growth Partners,,3
Emerging Markets Property Group,$1B,4/28/2020,Other,Dubai,United Arab Emirates,Asia,2015,$279M,"OLX Group, KCK Group, EXOR Seeds",OLX Group, KCK Group, EXOR Seeds,,3
Esusu,$1B,1/27/2022,Fintech,New York,United States,North America,2015,$145M,"Next Play Ventures, Zeal Capital Partners, SoftBank Group",Next Play Ventures, Zeal Capital Partners, SoftBank Group,,3
Evidation,$1B,3/22/2021,Health,San Mateo,United States,North America,2012,$259M,"B Capital Group,, GE Ventures, McKesson Ventures",B Capital Group,, GE Ventures, McKesson Ventures,3
Expel,$1B,11/18/2021,Cybersecurity,Herndon,United States,North America,2016,$258M,"Paladin Capital Group, Greycroft, Scale Venture Partners",Paladin Capital Group, Greycroft, Scale Venture Partners,,3
Fabric,$1B,10/26/2021,"Supply chain, logistics, & delivery",New York,United States,North America,2015,$294M,"Innovation Endeavors, Aleph, Temasek",Innovation Endeavors, Aleph, Temasek,,3
Feedzai,$1B,3/24/2021,Artificial intelligence,San Mateo,United States,North America,2009,$277M,"Global Founders Capital, Shea Ventures, Greycroft",Global Founders Capital, Shea Ventures, Greycroft,,3
Fever Labs,$1B,1/26/2022,Internet software & services,New York,United States,North America,2012,$299M,"Accel, 14W, GS Growth",Accel, 14W, GS Growth,,3
Fiture,$1B,4/14/2021,Health,Chengdu,China,Asia,2019,$391M,"Bertelsmann Asia Investments, Sequoia Capital China, NIO Capital",Bertelsmann Asia Investments, Sequoia Capital China, NIO Capital,,3
FLASH,$1B,3/16/2022,Fintech,Austin,United States,North America,2011,$314M,"L Catterton, Trellis Partners, Vista Equity Partners",L Catterton, Trellis Partners, Vista Equity Partners,,3
Flash Express,$1B,2/1/2021,"Supply chain, logistics, & delivery",Bangkok,Thailand,Asia,2017,$350M,"SCB 10X, Krungsri Finnovate, eWTP Capital",SCB 10X, Krungsri Finnovate, eWTP Capital,,3
FlashEx,$1B,8/27/2018,"Supply chain, logistics, & delivery",Beijing,China,Asia,2014,$359M,"Prometheus Capital, Matrix Partners China, JD Capital Management",Prometheus Capital, Matrix Partners China, JD Capital Management,,3
Fractal Analytics,$1B,1/5/2022,Data management & analytics,Mumbai,India,Asia,2000,$685M,"TPG Capital, Apax Partners, TA Associates",TPG Capital, Apax Partners, TA Associates,,3
Freshbooks,$1B,8/10/2021,Fintech,Toronto,Canada,North America,2004,$156M,"Accomplice, Oak Investment Partners, Georgian Partners",Accomplice, Oak Investment Partners, Georgian Partners,,3
FXiaoKe,$1B,7/2/2015,Mobile & telecommunications,Beijing,China,Asia,2011,$283M,"IDG Capital, Northern Light Venture Capital, DCM Ventures",IDG Capital, Northern Light Venture Capital, DCM Ventures,,3
Gauntlet Networks,$1B,3/7/2022,Fintech,New York,United States,North America,2018,$45M,"Polychain Capital, Paradigm, Ribbit Capital",Polychain Capital, Paradigm, Ribbit Capital,,3
Geek+,$1B,11/21/2018,Hardware,Beijing,China,Asia,2015,$439M,"Volcanics Ventures, Vertex Ventures China, Warburg Pincus",Volcanics Ventures, Vertex Ventures China, Warburg Pincus,,3
Gelato,$1B,8/16/2021,E-commerce & direct-to-consumer,Oslo,Norway,Europe,2007,$269M,"Greylock Partners, Google Ventures, BlackRock",Greylock Partners, Google Ventures, BlackRock,,3
Glia,$1B,3/21/2022,Fintech,New York,United States,North America,2012,$152M,"Wildcat Capital Management, Insight Partners, Tola Capital",Wildcat Capital Management, Insight Partners, Tola Capital,,3
GO1,$1B,7/19/2021,Internet software & services,Brisbane,Australia,Oceania,2015,$284M,"Y Combinator, M12, SEEK",Y Combinator, M12, SEEK,,3
Groq,$1B,4/14/2021,Artificial intelligence,Mountain View,United States,North America,2016,$362M,"TDK Ventures, Social Capital, D1 Capital Partners",TDK Ventures, Social Capital, D1 Capital Partners,,3
Hailo,$1B,10/12/2021,Artificial intelligence,Tel Aviv,Israel,Asia,2017,$221M,"Glory Ventures, Maniv Mobility",Glory Ventures, Maniv Mobility,,,2
Haomao.AI,$1B,12/22/2021,Artificial Intelligence,Beijing,China,Asia,2019,$157M,"Qualcomm Ventures, Nine Intelligence Capital, Hillhouse Capital Management",Qualcomm Ventures, Nine Intelligence Capital, Hillhouse Capital Management,,3
Hasura,$1B,2/22/2022,Internet software & services,Bengaluru,India,Asia,2017,$137M,"Nexus Venture Partners, Vertex Ventures, STRIVE",Nexus Venture Partners, Vertex Ventures, STRIVE,,3
HAYDON,$1B,9/24/2021,Consumer & retail,Shanghai,China,Asia,2020,$100M,"Tencent Holdings, Hillhouse Capital Management",Tencent Holdings, Hillhouse Capital Management,,,2
Heyday,$1B,11/16/2021,E-commerce & direct-to-consumer,Chicago,United States,North America,2017,$800M,"Khosla Ventures,General Catalyst, Victory Park Capital",Khosla Ventures,General Catalyst, Victory Park Capital,,3
HMD Global,$1B,5/21/2018,Mobile & telecommunications,Espoo,Finland,Europe,2016,$330M,Ginko Ventures,Ginko Ventures,,,,1
Hotmart,$1B,3/17/2020,E-commerce & direct-to-consumer,Amsterdam,Netherlands,Europe,2011,$127M,"Technology Crossover Ventures, Alkeon Capital Management, General Atlantic",Technology Crossover Ventures, Alkeon Capital Management, General Atlantic,,3
Huike Group,$1B,5/24/2018,Edtech,Beijing,China,Asia,2010,$302M,"Fosun RZ Capital, Oceanwide Holdings, Shenzhen Qianhe Capital Management Co.",Fosun RZ Capital, Oceanwide Holdings, Shenzhen Qianhe Capital Management Co.,,3
Human Interest,$1B,8/4/2021,Fintech,San Francisco,United States,North America,2015,$337M,"Wing Venture Capital, Slow Ventures, Uncork Capital",Wing Venture Capital, Slow Ventures, Uncork Capital,,3
Ibotta,$1B,8/6/2019,Fintech,Denver,United States,North America,2011,$93M,"Koch Disruptive Technologies, Teamworthy Ventures, GGV Capital",Koch Disruptive Technologies, Teamworthy Ventures, GGV Capital,,3
iCarbonX,$1B,4/12/2016,Artificial intelligence,Shenzhen,China,Asia,2015,$200M,"Tencent, Vcanbio",Tencent, Vcanbio,,,2
iFood,$1B,11/13/2018,"Supply chain, logistics, & delivery",Osasco,Brazil,South America,2011,$592M,"Movile, Just Eat, Naspers",Movile, Just Eat, Naspers,,3
InFarm,$1B,12/16/2021,Other,Berlin,Germany,Europe,2013,$600M,"Atomico, Hanaco Venture Capital, TriplePoint Capital",Atomico, Hanaco Venture Capital, TriplePoint Capital,,3
Infobip,$1B,7/30/2020,Mobile & telecommunications,Vodnjan,Croatia,Europe,2006,$200M,One Equity Partners,One Equity Partners,,,,1
